Age of Milk (Days Since Birth) ,Fat (g/dL),Protein (g/dL),Lactose (g/dL)
37,2.6,1.2,7.5
25,3.1,1.1,7.2
22,2.9,1.3,7.1
210,3.5,1.1,7.4
48,2.9,1.2,7.1
295,4.8,1.0,7.2
14,2.9,1.3,7.2
118,3.3,1.0,7.3
95,2.9,1.2,6.9
180,2.1,0.7,7.2
81,3.9,1.1,7.2
126,3.9,1.0,7.2
103,3.3,1.2,7.1
93,6.7,0.9,7.1
57,5.5,1.0,7.2
68,5.3,1.0,7.2
220,2.8,0.8,7.0
95,2.8,1.0,7.4
38,3.7,1.2,7.1
8,3.7,1.3,7.3
96,3.4,0.8,6.9
48,4.3,1.3,6.9
84,2.7,1.0,6.9
86,4.1,1.1,7.1
348,4.8,1.2,7.1
53,5.2,1.1,7.3
172,3.0,1.0,7.1
122,3.9,0.8,7.0
39,4.1,1.2,7.1
156,2.4,0.8,7.1
282,3.5,1.1,7.2
163,3.1,0.8,7.1
16,2.8,1.3,7.4
20,3.9,1.1,7.2
24,4.0,1.1,7.3
148,4.4,1.1,7.1
740,6.2,1.5,6.7
161,3.7,1.0,7.4
297,3.9,0.9,6.7
285,4.0,1.0,7.1
124,3.2,0.8,7.0
84,4.0,0.9,8.2
150,3.4,0.7,7.0
150,3.4,0.7,7.0
12,3.8,1.2,7.1
45,3.7,0.8,7.3
44,3.4,1.1,7.0
20,3.5,1.6,7.3
253,4.8,1.2,7.1
48,4.0,1.2,7.1
34,3.6,1.2,7.2
139,1.9,0.9,7.3
290,4.8,1.1,7.1
411,3.0,1.0,6.8
74,2.4,1.1,7.1
235,2.8,1.1,7.3
211,2.6,0.7,7.5
218,3.2,0.7,7.1
123,3.3,0.9,7.3
5,3.4,1.6,6.9
176,3.5,0.8,7.2
289,3.6,0.8,7.2
199,4.9,1.0,7.0
12,4.2,1.5,7.4
514,1.9,1.0,7.4
46,3.5,1.0,7.1
48,3.5,1.0,7.0
321,4.3,1.2,7.1
44,3.1,1.1,7.2
61,2.8,1.2,7.2
58,4.0,0.9,7.3
60,3.1,1.0,7.2
69,2.5,0.9,7.2
88,2.8,0.9,7.1
95,2.1,0.8,7.0
55,4.6,1.0,7.1
40,3.2,1.2,7.8
110,3.0,0.8,6.9
96,3.3,1.1,7.2
68,3.7,1.1,7.2
83,2.4,0.9,7.0
93,3.2,0.9,7.2
103,3.4,1.1,7.2
103,3.4,1.1,7.1
95,3.3,1.1,6.9
154,3.3,1.0,7.3
35,3.5,1.2,7.2
93,3.8,1.2,6.8
124,4.1,1.0,7.0
127,3.6,1.0,8.1
145,3.9,1.0,7.2
326,5.8,1.0,7.1
37,2.9,0.9,7.2
54,3.3,1.0,7.3
98,3.1,1.0,7.1
160,3.5,1.0,7.1
32,3.0,1.1,7.4
26,3.5,1.4,7.5
325,6.0,1.1,7.1
339,6.6,1.1,7.0
221,2.9,1.0,7.4
319,5.9,1.1,7.1
381,5.7,1.1,7.0
75,4.1,1.0,7.2
295,1.7,0.7,7.2
84,4.6,1.0,7.2
101,4.7,1.1,7.2
16,3.4,1.3,7.3
10,3.3,1.3,7.2
79,2.7,1.0,7.1
84,3.1,1.2,7.0
7,4.9,1.6,7.0
193,2.6,0.9,7.1
4,3.0,1.3,7.2
30,4.0,1.3,7.1
95,3.9,1.3,7.0
80,3.6,1.3,6.9
238,3.1,0.9,7.2
219,3.3,0.8,7.1
86,2.6,0.9,7.2
239,3.2,0.9,7.2
269,3.0,0.9,7.1
276,3.0,1.0,7.1
81,3.7,0.9,7.1
330,2.0,0.9,7.0
29,3.7,1.2,7.3
35,3.5,1.1,7.2
