Age of Milk (Days Since Birth) ,Fat (g/dL),Protein (g/dL),Lactose (g/dL)
32,2.5,0.9,7.1
117,3.8,1.0,7.2
41,2.7,1.0,7.2
20,4.0,1.1,7.3
114,5.3,1.1,7.4
65,2.7,0.9,7.1
162,4.2,1.1,7.0
9,4.4,1.1,7.2
188,4.0,1.0,7.1
16,3.7,1.4,7.2
37,3.6,1.4,7.2
59,4.0,1.1,7.3
19,2.5,1.1,7.4
10,3.5,1.1,7.5
24,2.4,1.0,7.5
13,2.3,1.3,7.4
35,3.4,1.4,7.3
8,3.5,1.1,7.5
174,4.2,1.1,7.0
118,5.8,0.8,6.9
3,3.9,2.1,6.7
82,3.8,1.0,7.3
4,4.3,1.3,7.5
250,4.1,1.0,7.3
227,3.9,1.1,7.0
41,3.3,1.3,7.2
213,3.9,1.2,7.1
72,4.0,1.1,7.2
297,2.8,0.9,7.2
45,3.3,1.0,7.4
170,2.1,0.7,7.2
74,3.0,0.9,7.0
402,4.0,1.3,7.0
57,2.2,1.0,7.3
3,3.9,2.0,6.8
5,3.4,1.5,6.7
122,2.6,0.9,7.1
52,2.8,1.2,6.9
159,3.4,0.9,7.2
305,3.1,1.2,7.3
268,3.4,0.9,7.0
297,3.1,0.9,7.1
1135,5.2,1.6,6.5
32,2.8,1.3,7.0
32,3.5,1.3,6.9
194,3.7,0.9,7.1
3,2.1,1.2,7.0
112,2.7,1.0,7.2
154,2.1,1.1,7.0
404,3.0,1.1,7.3
142,1.6,0.9,7.0
255,3.7,1.0,7.2
255,2.5,0.9,7.4
194,3.9,0.9,7.3
49,3.3,0.9,7.2
36,3.4,1.2,7.2
6,3.2,1.2,7.1
319,3.3,1.1,7.2
477,3.4,1.0,6.8
188,4.0,0.9,7.2
267,4.0,0.9,7.1
98,2.7,1.1,7.1
373,4.4,0.8,7.0
32,2.4,1.0,7.1
174,3.3,0.9,7.1
86,2.7,1.0,7.0
106,3.9,1.1,7.3
38,2.4,1.0,7.3
172,2.9,0.9,7.1
383,5.5,0.8,6.9
30,2.5,0.9,7.1
187,2.1,0.9,7.2
70,3.7,0.9,7.2
38,3.9,1.1,7.2
105,4.0,1.2,7.3
18,2.5,0.9,6.8
239,2.9,0.9,7.1
123,3.2,0.9,7.1
172,3.8,0.9,7.0
94,3.3,0.9,7.2
143,4.8,1.1,6.9
78,3.7,0.8,7.0
129,5.3,1.1,6.9
392,2.2,0.9,7.3
248,3.5,1.0,7.0
89,4.2,1.2,7.2
74,3.6,0.8,7.3
37,3.6,1.1,7.5
212,4.8,1.1,7.2
392,2.2,0.9,7.3
24,2.4,1.0,7.3
72,3.6,1.1,7.1
4,3.3,1.0,7.3
4,3.1,1.0,7.4
273,3.5,1.1,7.1
273,3.3,1.0,7.2
143,3.6,1.0,7.1
80,2.8,0.9,7.1
113,4.3,0.9,7.0
29,3.0,1.1,6.6
97,4.0,1.1,7.1
45,3.5,1.3,7.3
160,2.9,1.0,7.3
83,2.8,1.0,7.3
83,2.8,1.0,7.3
5,4.3,1.5,7.5
56,3.4,1.1,6.9
201,2.9,0.9,7.0
243,3.3,1.0,7.2
18,4.1,1.5,7.5
37,2.9,1.1,7.1
150,3.5,1.2,7.1
155,3.3,0.9,7.1
157,3.3,0.9,7.2
185,3.7,1.0,7.3
170,3.6,1.0,7.1
177,3.6,0.9,7.0
267,3.9,1.0,6.9
177,3.2,1.0,7.1
160,3.7,1.0,7.4
368,3.9,1.2,6.9
177,3.2,1.0,7.1
6,2.9,1.4,7.2
137,3.4,1.0,7.2
54,3.5,1.2,7.1
233,3.2,0.9,7.1
244,3.7,1.1,7.2
175,2.9,1.1,7.6
37,3.8,1.0,7.6
79,3.1,1.1,7.3
93,3.7,1.1,7.4
122,3.5,1.1,7.4
126,4.2,1.1,7.1
157,4.3,1.0,7.1
140,3.6,1.0,7.1
148,2.0,0.8,7.1
25,3.2,1.3,7.3
119,3.8,0.9,7.3
116,2.6,1.0,7.2
42,2.5,0.9,7.2
44,2.4,0.9,7.3
54,2.3,0.8,7.3
84,3.9,0.9,7.1
7,3.1,1.1,7.0
313,4.9,1.4,6.9
226,2.9,0.9,7.3
85,2.7,1.0,6.9
87,2.8,1.1,7.1
53,3.2,0.9,7.1
95,3.9,1.0,7.1
35,3.2,1.1,7.3
46,4.9,1.5,7.0
99,3.8,1.0,7.0
13,3.9,1.5,7.3
64,3.8,1.1,7.1
12,3.9,1.6,7.3
30,3.7,1.3,7.1
4,3.8,1.6,7.1
52,4.5,1.0,7.1
54,3.2,0.9,7.1
87,4.2,1.0,6.7
13,4.0,0.9,6.7
164,4.8,1.0,6.9
126,4.0,0.9,7.2
30,3.3,1.1,7.2
120,3.8,0.9,7.3
131,2.4,0.8,7.3
40,3.3,1.0,7.1
32,3.4,1.1,7.1
16,3.4,1.1,7.2
218,4.4,1.0,7.2
56,3.1,1.0,6.8
56,3.1,1.0,6.8
476,3.5,0.9,7.1
7,3.8,1.5,7.3
458,4.5,1.1,7.2
147,3.4,0.9,7.1
62,2.8,1.0,7.1
40,3.1,1.0,7.2
534,3.6,0.9,7.4
106,2.5,0.8,6.9
122,3.5,1.1,7.4
185,3.6,1.0,7.1
29,4.0,1.4,7.2
11,3.9,1.2,7.2
368,2.6,1.0,7.4
250,4.7,1.1,7.1
228,2.5,0.8,7.3
10,4.3,1.8,6.9
78,6.1,1.0,6.9
129,2.6,0.8,7.2
150,3.8,1.0,7.1
71,2.5,0.9,7.5
74,2.8,0.9,7.1
4,2.4,1.1,7.1
80,2.8,1.0,7.0
77,2.0,0.7,7.4
66,2.6,1.0,7.2
68,2.9,1.0,7.4
196,5.7,1.0,7.2
55,3.6,1.1,7.1
71,3.7,0.9,7.0
30,3.6,1.0,7.1
12,3.2,1.2,7.3
59,2.2,0.8,7.3
19,3.3,1.1,7.3
71,4.0,0.9,7.0
71,3.9,0.9,7.0
9,2.9,1.2,7.3
73,4.1,0.9,7.2
69,2.8,0.8,7.0
95,3.3,0.8,7.4
148,4.3,1.0,7.1
4,3.8,1.6,7.1
56,3.3,1.4,7.2
73,3.6,0.9,7.3
267,4.5,0.8,7.3
38,4.2,1.1,7.3
58,4.0,1.0,7.2
69,3.6,0.9,7.3
8,2.9,1.2,7.3
72,3.9,0.9,7.0
84,2.9,1.0,7.1
59,3.2,1.1,7.3
301,4.0,0.8,7.0
174,4.9,1.2,7.1
86,3.0,1.2,7.1
328,3.6,0.9,7.2
188,5.2,1.2,7.0
304,3.5,0.8,7.1
52,4.6,1.0,6.8
310,3.9,0.8,7.1
85,3.1,1.1,7.0
65,3.2,1.1,7.0
95,3.1,1.1,7.1
96,3.3,1.0,7.0
119,3.1,1.0,7.2
33,2.9,1.1,7.5
25,3.1,1.1,7.2
263,3.0,0.9,7.3
117,3.0,0.9,7.6
292,0.7,0.8,7.4
26,3.5,1.2,7.1
